panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logFC,FDR,minus_log10_FDR,is_deg_by_threshold,DEG_direction,module_for_plot,label_for_plot
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000170,nemA,2.17549133263986,1.89249491884942e-10,9.722965277861508,True,up,Other,nemA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000171,glnB,0.573296651744905,0.0040205854829002,2.39571069978165,False,not_DEG,Other,glnB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000172,hsdR,0.316517576115557,0.134289624653122,0.8719575400487808,False,not_DEG,Other,hsdR
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000173,fixB,-0.0863373994272504,0.660594405901907,0.1800651083561089,False,not_DEG,Other,fixB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000174,erpA,0.661557281060407,0.0005397928407157,3.267772879798555,False,not_DEG,Other,erpA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000175,secDF,0.864439323963431,4.8816175204181e-05,4.311436250989924,False,not_DEG,Other,secDF
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000176,tam,0.952224033083863,0.0003321566056047,3.478657106313972,False,not_DEG,Other,tam
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000177,degP,3.17757088249908,1.16863687330127e-11,10.93232041477517,True,up,Proteostasis,degP
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000178,hemK,0.700842864652862,0.0263391247917791,1.5793986600658,False,not_DEG,Other,hemK
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000179,czcD,-0.875667961687514,7.3872731561324e-06,5.131515841955364,False,not_DEG,Other,czcD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000180,prkC,-1.14683783549683,2.10256833206404e-07,6.677249881020602,True,down,Other,prkC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000181,acuC,-1.53688984861958,1.86808346457968e-08,7.728603723718021,True,down,Other,acuC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000182,yiaN,0.511066276913162,0.0033462727109484,2.475438668264899,False,not_DEG,Other,yiaN
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000183,bcd,0.0895296278250239,0.757005504147113,0.1209009627561644,False,not_DEG,Other,bcd
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000184,glpQ,-0.159577432851804,0.363178893062091,0.4398793993938708,False,not_DEG,Other,glpQ
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000185,icd,-1.48790626775803,1.30920318780609e-08,7.882992945890073,True,down,ROS removal,icd
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000186,czcD,-0.31020941211642,0.124112833032932,0.9061833109489466,False,not_DEG,Other,czcD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000187,copG,1.90264500390534,7.128472274572991e-10,9.147003535199223,True,up,Other,copG
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000188,dacC,-0.276072367249986,0.0278189268572263,1.555659627362454,False,not_DEG,Other,dacC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000189,ethA,-0.316920165595704,0.366340774724474,0.4361147404882912,False,not_DEG,Other,ethA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000190,gst,-0.107404653338992,0.381813932103804,0.4181482285735451,False,not_DEG,Other,gst
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000191,gene4073,0.122860740942267,0.637929959967146,0.1952270010116847,False,not_DEG,Other,
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000200,phbB,-0.282285883182603,0.121104931301402,0.9168381723533642,False,not_DEG,Other,phbB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000201,fabG,0.433412101695677,0.0047383746145339,2.324370607059115,False,not_DEG,Other,fabG
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000203,dcm,-0.651962579741406,0.0735971119304564,1.133139227745051,False,not_DEG,Other,dcm
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000207,uspE,1.88661394537961,4.08832102014586e-07,6.388455010181521,True,up,Other,uspE
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000208,pcaF,-0.316257650737226,0.161921939245321,0.7906943035155749,False,not_DEG,Other,pcaF
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000209,dicA,-0.269090202811632,0.0333110215149707,1.477412049040658,False,not_DEG,Other,dicA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000210,nlpD,-0.447942831387473,0.0253291161784964,1.596379963999372,False,not_DEG,Other,nlpD
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000211,cydC,2.00896863290368,2.27671966502226e-09,8.642690441246556,True,up,Membrane maintenance,cydC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000212,doeC,-1.51637427992844,1.05637297505993e-07,6.976182717776052,True,down,Other,doeC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000213,mdlB,-0.571552922937542,0.0030624813250799,2.51392655093418,False,not_DEG,Other,mdlB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000214,vcaM,0.289862412202216,0.0331044384937903,1.480113774075264,False,not_DEG,Other,vcaM
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000216,rluC,-0.401048381560688,0.0159313630492125,1.797747065414984,False,not_DEG,Other,rluC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000217,ugd,-0.553959982353702,0.0017963532933247,2.745608245479204,False,not_DEG,Other,ugd
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000218,fabB,-0.0881799366564929,0.434366778007493,0.3621433986120458,False,not_DEG,Other,fabB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000219,ridA,0.232273888350885,0.253064728221676,0.5967683819305124,False,not_DEG,Other,ridA
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000220,dps,2.9264976861672,5.31959554303383e-10,9.27412138652187,True,up,ROS removal,dps
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000222,coxC,0.434683040477364,0.159359943828445,0.7976208320014551,False,not_DEG,Other,coxC
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000223,gene2221,1.64842497941612,9.30657736702422e-05,4.031210007945618,True,up,Other,
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000224,parB,-0.502783785887334,0.0195466505038625,1.708927652197414,False,not_DEG,Other,parB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000225,calB,-0.628308825229114,0.000424133168938,3.372497762618194,False,not_DEG,Other,calB
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000227,dnaJ,2.70811971531238,1.28459577244427e-09,8.891233511566154,True,up,Proteostasis,dnaJ
a,55 MPa Droplet vs Droplet 0.1 MPa,Halomonas,D55_vs_D0,OG0000228,msrA,2.11153884623155,1.89249491884942e-10,9.722965277861508,True,up,Proteostasis,msrA
